2015-06-17 20:47:48,285 [Worker-76] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.grants.harvesters:harvester_rda:1.1.1 @ /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda/pom.xml.
2015-06-17 20:47:50,559 [Worker-76] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/grants/harvesters/harvester_pmh/1.2.1/harvester_pmh-1.2.1.pom
2015-06-17 20:47:50,561 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.grants.harvesters:harvester_pmh:jar:1.2.1 is missing, no dependency information available
2015-06-17 20:47:51,077 [Worker-76] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/org/grants/harvesters/harvester_pmh/1.2.1/harvester_pmh-1.2.1.jar
2015-06-17 20:47:51,192 [Worker-76] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.grants.harvesters:harvester_rda2:1.0.0 @ /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda2/pom.xml.
2015-06-17 20:47:52,041 [Worker-76] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.grants.harvesters:harvester_pmh:1.2.2 @ /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/OAI:PMH/harvester_pmh/pom.xml.
2015-06-17 20:47:52,995 [Worker-76] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /harvester_rda/src/main/java
2015-06-17 20:47:52,996 [Worker-76] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /harvester_rda/src/test/java
2015-06-17 20:47:53,047 [Worker-76] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /harvester_pmh/src/main/java
2015-06-17 20:47:53,047 [Worker-76] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /harvester_pmh/src/test/java
2015-06-17 20:47:53,078 [Worker-76] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /harvester_rda2/src/main/java
2015-06-17 20:47:53,078 [Worker-76] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /harvester_rda2/src/test/java
2015-06-17 20:47:53,101 [Worker-76] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 3 project(s) in 7 sec
2015-06-17 20:47:53,404 [Worker-67] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.grants.harvesters:harvester_rda:1.1.1 @ /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda/pom.xml.
2015-06-17 20:47:53,407 [Worker-67] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.grants.harvesters:harvester_pmh:jar:1.2.1 is missing, no dependency information available
2015-06-17 20:47:53,466 [Worker-67] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.grants.harvesters:harvester_rda2:1.0.0 @ /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/RDA/harvester_rda2/pom.xml.
2015-06-17 20:47:53,507 [Worker-67] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.grants.harvesters:harvester_pmh:1.2.2 @ /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/OAI:PMH/harvester_pmh/pom.xml.
2015-06-17 20:47:54,281 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-06-17 20:47:54,281 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/dima/Projects/RD-Switchboard/Harvesters/src/Harvesters/OAI:PMH/harvester_pmh/src/main/resources
